production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,imdb_score
150000000,449326618,2011,2.35,115,60059,7
150000000,599516844,2008,1.85,89,3285,6.7
150000000,374825760,2009,2.35,119,40054,6.7
150000000,402231063,2009,2.35,105,54039,5.9
150000000,664837547,2011,2.35,90,21015,7.3
150000000,373136354,2015,2.35,120,40025,8.1
150000000,427289109,2003,2.35,129,1062,6.7
150000000,397501348,2006,2.35,124,34817,6.9
150000000,490875846,2009,2.35,146,16948,6.7
150000000,319713881,2010,2.35,103,2857,4.2
150000000,287594577,2007,1.85,91,6576,6.2
150000000,292817841,2009,2.35,88,2217,5.1
150000000,305270083,2012,1.85,99,16184,5.8
150000000,194995215,2007,2.35,115,31523,6.3
150000000,238202668,2012,1.85,113,80849,6.2
150000000,205440387,2013,2.35,131,18204,6.4
150000000,142634358,2010,1.85,119,13071,5.8
150000000,39549758,2011,2.35,88,2652,5.4
149000000,179357126,2006,1.85,85,35161,6.7
145000000,746921271,2012,1.85,93,2444,6.9
145000000,694713230,2011,2.35,133,21768,7.4
145000000,616102924,2014,2.35,102,23378,7.9
145000000,448191819,2008,1.85,94,836,4.8
145000000,269806430,2014,1.85,92,5810,6.9
145000000,306900902,2012,1.85,97,20645,7.3
145000000,121671925,2005,2.35,124,13073,6
142000000,431942139,2002,2.35,133,2538,6.1
140000000,385680446,2009,2.35,127,39284,8
140000000,554600000,1998,2.35,153,26029,6.6
140000000,370569776,2011,2.35,124,19761,6.9
140000000,518628619,2016,2.35,95,36095,7.2
140000000,375740705,2013,2.35,122,31958,5.8
140000000,456810575,2003,2.35,154,11945,7.7
140000000,203018919,2005,2.35,90,1997,6.1
140000000,268314513,2014,2.35,150,26490,6.1
140000000,268314513,2014,2.35,150,26489,6.1
140000000,118515678,2016,2.35,117,1950,6.8
140000000,133553464,2016,2.35,126,19769,5.5
139000000,821706375,2002,1.85,121,40484,7.3
138000000,184068357,2009,2.35,215,2530,7.7
138000000,76416746,2005,2.35,121,2705,5
137500000,263417913,2008,2.35,135,5811,6.8
137000000,245229234,2003,1.85,138,1814,5.7
137000000,85131830,2001,1.85,106,15015,6.4
135000000,573068425,2013,2.35,98,43286,7.3
135000000,532037894,2015,2.35,156,57108,8.1
135000000,361730660,1999,2.35,128,2037,6.4
135000000,245504574,2011,2.35,107,43291,7.2
135000000,212912137,2003,2.35,138,1205,7.4
135000000,286896578,2013,2.35,96,17416,6.5
135000000,237177349,2016,2.35,112,8306,6.3
135000000,157956466,2011,2.35,100,62644,5.9
135000000,163818556,2002.130733,1.33,60,1687,7.5
132000000,606836535,2005,1.85,116,12758,6.5
132000000,367650911,2014,1.85,92,19963,6.7
130000000,864868047,2013,2.35,146,49355,7.6
130000000,796688549,2004,2.35,142,33284,7.8
130000000,442161562,2007,2.35,115,17369,8.1
130000000,631910531,2008,2.35,92,12754,7.6
130000000,518602163,2015,1.85,117,5730,7.4
130000000,554987477,2011,2.35,90,5046,6.7
130000000,321887208,2010,2.35,95,46120,7.3
130000000,273271982,2003,2.35,147,12954,6.6
130000000,493738435,2014,2.35,101,1031,6.4
130000000,290650494,2010,2.35,101,12406,6.4
130000000,373993951,2011,2.35,107,4631,7.4
130000000,251499665,2013,2.35,100,14168,4.9
130000000,215080810,2008,2.35,165,921,6.6
130000000,79072464,2013,2.35,96,31549,5.6
127500000,356148063,2000,1.85,82,2945,6.5
127000000,356546621,2014,1.85,98,53587,6.2
125000000,1341511219,2011,2.126976154,108.5771861,11036,7.5
125000000,766652288,2014,2.35,123,81385,6.7
125000000,974755371,2001,2.35,159,13191,7.5
125000000,634954103,2003,2.35,143,48184,8.1
125000000,960283305,2010,2.126976154,108.5771861,14719,6.4
125000000,767820459,2006,2.35,174,16008,6.6
125000000,629969804,2011,2.35,132,55345,7.3
125000000,535663443,2011,2.35,129,22403,7.5
125000000,556319450,2004,2.35,124,20553,6.4
125000000,399005706,2012,2.35,124,24098,7
125000000,280355920,2012,2.35,135,12175,6.7
125000000,238317814,1997,1.85,125,2699,3.7
125000000,61698899,1999,2.35,102,1815,6.6
123000000,345141403,2000,1.85,110,4146,6
120000000,328711434,2000,2.35,130,2684,6.4
120000000,288215319,2007,2.35,92,15302,5.6
120000000,607987022,2012,1.85,127,2121,8
120000000,229545589,2007,2.35,123,14017,5.2
120000000,200421835,2016,2.35,123,13752,7.1
120000000,227200000,2003,2.35,107,4046,4.8
120000000,286192091,2013,2.35,109,17689,6.6
120000000,287916633,2013,2.35,124,22004,7
120000000,166000000,2002,1.85,77,2682,5.4
120000000,107212751,2004,2.35,134,17159,6.7
120000000,93394462,2008,2.35,135,902,6.1
120000000,49628177,2010,1.85,121,993,5.3
117000000,258751370,2010,2.35,117,12731,6.3
115000000,1027044677,1999,2.35,136,37723,6.5
115000000,848998877,2005,2.35,140,44042,7.6
115000000,656695615,2002,1.78,142,42990,6.7
115000000,559757719,2001,1.85,92,15013,8.1
115000000,416456852,2013,2.35,138,23755,6.7
115000000,178200000,1997,2.35,108,1569,5.8
115000000,164602163,2016,2.35,120,46719,6.1
115000000,77628265,2002,2.35,153,15046,6
113500000,132999811,2008,2.35,116,1609,5.1
112000000,232017848,2010,2.35,85,1173,4.9
110000000,716392705,2013,2.35,91,87,7.8
110000000,579446407,2006,1.85,108,55486,6.4
110000000,486124090,2005,2.35,126,22722,6.5
110000000,469590832,2015,2.35,114,16718,6.1
110000000,563749323,2011,1.78,103,692,5.5
110000000,382288147,2007,2.35,129,13961,7.2
110000000,362989076,2004,2.35,125,19359,6.4
110000000,339504276,1997,2.35,119,2958,6.5
110000000,215300000,2000,2.35,142,19454,7.1
110000000,330780051,2014,2.35,102,10583,6.2
110000000,208370892,2004,2.35,170,34582,7.5
110000000,229155503,2011,2.35,119,13391,5.8
110000000,263880341,2011,2.35,127,22254,7.1
110000000,348547523,2013,1.85,105,914,5.4
110000000,152364370,2009,2.35,106,19906,6.4
110000000,89737191,2013,2.35,114,12908,6.7
110000000,76482461,2004,1.78,76,13607,5.4
110000000,150468000,1997,2.35,121,2027,3.7
109000000,887217688,2001,2.35,171,22342,8.8
109000000,133818283,2003,1.85,82,2762,3.8
109000000,87683966,2001,2.35,165,14196,6.8
108000000,640055863,2015,2.35,151,14831,8.1
105000000,348629585,2004,2.35,115,12068,7.1
105000000,298815224,1999,1.85,84,3382,5.9
105000000,270997378,2009,1.85,97,2480,7.1
105000000,269065678,2002.130733,2.126976154,22,5,7.2
105000000,10364769,2001,1.85,104,3133,4.4
103300000,232643008,2000,2.35,127,29069,6.5
103000000,457683805,2000,2.35,171,6521,8.5
102500000,212282709,2009,2.35,140,64599,7
102000000,358824714,2002,2.35,145,12546,7.7
102000000,130673154,2012,2.35,172,22686,7.5
100000000,878979634,2002,2.35,174,35672,7.4
100000000,513815401,1991,2.35,153,2829,8.5
100000000,336529144,1995,1.85,121,2880,5.4
100000000,331323410,2004,2.35,131,13679,6.9
100000000,449948323,2012,2.35,165,40978,8.5
100000000,310650574,2010,1.85,98,24082,5.5
100000000,365300000,1994,2.35,141,4528,7.2
100000000,267985456,2007,1.85,176,20354,7.8
100000000,236827677,2009,2.35,90,1227,7
100000000,170936470,2010,2.35,116,20233,6.7
100000000,391976723,2013,2.35,240,46057,8.2
100000000,262794441,2013,2.35,102,14552,6.7
100000000,234400000,1996,2.35,115,3454,6.1
100000000,325500000,1996,1.78,91,4842,6.9
100000000,169296573,2000,1.66,78,2039,7.3
100000000,311979256,2012,2.35,103,57881,6.7
100000000,99123656,2009,2.35,101,1738,6.8
100000000,249488115,2006,2.35,104,4487,5.1
100000000,212026975,1999,2.35,121,3903,5.7
100000000,96221971,2004,1.85,93,13748,5.2
100000000,145395745,2007,1.85,85,25590,6.8
100000000,171377916,2006,2.35,143,33160,8
100000000,139716717,2010,2.35,101,4286,7
100000000,121100000,1997,1.85,129,2031,7.2
100000000,69548641,2009,1.85,102,10552,5.4
100000000,82145379,2004,2.35,87,3144,3.3
100000000,209461378,2014,2.35,131,52610,6.1
100000000,91800000,2002,1.5,95,26940,7.1
100000000,97523020,2010,2.35,115,13761,6.9
100000000,103039258,2014,2.35,119,54031,6.3
100000000,59918422,2005,1.85,94,1195,2.2
100000000,13835130,1997,1.85,110,1722,7.3
100000000,7094995,2002,1.85,95,6161,3.8
99000000,244778411,2015,1.85,88,309,7.2
98000000,435040395,2001,2.35,130,15972,6.3
97000000,183124621,2002,2.35,216,47657,7.5
95000000,879765137,2012,2.35,88,25354,6.6
